timestamp,%cpu_user,%cpu_system
16:06:53,0,0
16:06:53,11.8,0.1
16:06:54,254.9,0.3
16:06:54,100.0,0.5
16:06:55,252.9,0.7
16:06:55,98.0,0.8
16:06:56,98.0,0.9
16:06:56,0,0
16:06:57,0,0
16:06:57,0,0
16:06:58,0,0
16:06:58,41.2,0.1
16:06:59,258.0,0.3
16:06:59,186.3,0.5
16:07:00,151.0,0.7
16:07:00,102.0,0.8
16:07:01,100.0,1.0
16:07:01,0,0
16:07:02,0,0
16:07:02,0,0
16:07:03,0,0
16:07:03,221.2,0.2
16:07:04,113.7,0.4
16:07:04,247.1,0.6
16:07:05,98.0,0.8
16:07:05,100.0,0.8
16:07:06,0,0
16:07:06,0,0
16:07:07,0,0
16:07:07,0,0
16:07:08,48.1,0.1
16:07:08,254.9,0.4
16:07:09,164.7,0.5
16:07:09,176.5,0.7
16:07:10,96.1,0.8
16:07:10,102.0,0.8
16:07:11,0,0
16:07:11,0,0
16:07:12,0,0
16:07:13,0,0
16:07:13,32.7,0.1
16:07:14,235.3,0.3
16:07:14,96.1,0.4
16:07:15,245.1,0.7
16:07:15,100.0,0.8
16:07:16,98.0,0.8
16:07:16,98.0,1.0
16:07:17,0,0
16:07:17,0,0
16:07:18,0,0
16:07:18,0,0
16:07:19,213.5,0.2
16:07:19,127.5,0.4
16:07:20,262.0,0.7
16:07:20,98.0,0.8
16:07:21,96.1,0.8
16:07:21,0,0
16:07:22,0,0
16:07:22,0,0
16:07:23,0,0
16:07:23,30.8,0.1
16:07:24,262.0,0.3
16:07:24,131.4,0.5
16:07:25,225.5,0.7
16:07:25,100.0,0.8
16:07:26,100.0,1.0
16:07:26,0,0
16:07:27,0,0
16:07:27,0,0
16:07:28,0,0
16:07:28,198.0,0.2
16:07:29,141.2,0.4
16:07:29,252.9,0.7
16:07:30,98.0,0.8
16:07:30,100.0,0.8
16:07:31,0,0
16:07:31,0,0
16:07:32,0,0
16:07:32,0,0
16:07:33,25.0,0.1
16:07:34,256.9,0.3
16:07:34,98.0,0.5
16:07:35,247.1,0.7
16:07:35,98.0,0.8
16:07:36,100.0,0.9
16:07:36,0,0
16:07:37,0,0
16:07:37,0,0
16:07:38,0,0
16:07:38,25.0,0.1
16:07:39,256.9,0.3
16:07:39,98.0,0.5
16:07:40,256.9,0.7
16:07:40,98.0,0.8
16:07:41,98.0,0.9
16:07:41,0,0
16:07:42,0,0
16:07:42,0,0
16:07:43,0,0
16:07:43,36.5,0.1
16:07:44,262.0,0.3
16:07:44,133.3,0.5
16:07:45,215.7,0.7
16:07:45,98.0,0.8
16:07:46,98.0,0.9
16:07:46,0,0
16:07:47,0,0
16:07:47,0,0
16:07:48,0,0
16:07:48,57.7,0.2
16:07:49,256.9,0.4
16:07:49,256.9,0.6
16:07:50,100.0,0.8
16:07:50,96.1,0.8
16:07:51,100.0,1.0
16:07:51,0,0
16:07:52,0,0
16:07:52,0,0
16:07:53,3.8,0.1
16:07:53,258.8,0.3
16:07:54,98.0,0.5
16:07:54,258.8,0.7
16:07:55,100.0,0.8
16:07:55,98.0,0.9
16:07:56,0,0
16:07:56,0,0
16:07:57,0,0
16:07:58,0,0
16:07:58,55.8,0.2
16:07:59,252.0,0.4
16:07:59,227.5,0.5
16:08:00,107.8,0.8
16:08:00,98.0,0.8
16:08:01,100.0,1.2
16:08:01,0,0
16:08:02,0,0
16:08:02,0,0
16:08:03,0,0
16:08:03,234.6,0.2
16:08:04,96.1,0.4
16:08:04,254.9,0.7
16:08:05,100.0,0.8
16:08:05,98.0,0.9
16:08:06,100.0,1.0
16:08:06,0,0
16:08:07,0,0
16:08:07,0,0
16:08:08,5.8,0.1
16:08:08,256.0,0.3
16:08:09,98.0,0.5
16:08:09,254.9,0.7
16:08:10,100.0,0.8
16:08:10,96.1,0.9
16:08:11,104.0,1.1
16:08:11,0,0
16:08:12,0,0
16:08:12,0,0
16:08:13,3.9,0.1
16:08:13,251.9,0.2
16:08:14,100.0,0.4
16:08:14,260.0,0.6
16:08:15,98.0,0.7
16:08:15,98.0,0.8
16:08:16,100.0,0.9
16:08:16,98.0,1.3
16:08:17,0,0
16:08:17,0,0
16:08:18,0,0
16:08:18,0,0
16:08:19,26.9,0.1
16:08:19,258.8,0.3
16:08:20,96.1,0.5
16:08:21,256.9,0.7
16:08:21,98.0,0.8
16:08:22,98.0,0.8
16:08:22,100.0,1.0
16:08:23,100.0,1.8
16:08:23,0,0
16:08:24,0,0
16:08:24,0,0
16:08:25,0,0
16:08:25,53.8,0.2
16:08:26,262.0,0.4
16:08:26,129.4,0.5
16:08:27,213.7,0.7
16:08:27,96.1,0.8
16:08:28,100.0,0.8
16:08:28,98.0,1.2
16:08:29,102.0,1.9
16:08:29,0,0
16:08:30,0,0
16:08:30,0,0
16:08:31,0,0
16:08:31,21.2,0.1
16:08:32,251.0,0.3
16:08:32,98.0,0.5
16:08:33,262.0,0.7
16:08:33,98.0,0.8
16:08:34,98.0,0.9
16:08:34,100.0,1.5
16:08:35,100.0,2.2
16:08:35,0,0
16:08:36,0,0
16:08:36,0,0
16:08:37,0,0
16:08:37,25.0,0.1
16:08:38,258.8,0.3
16:08:38,100.0,0.5
16:08:39,254.9,0.7
16:08:39,100.0,0.8
16:08:40,98.0,0.8
16:08:40,98.0,1.2
16:08:41,100.0,1.9
16:08:41,100.0,2.6
16:08:42,0,0
16:08:42,0,0
16:08:43,0,0
16:08:43,0,0
16:08:44,62.7,0.2
16:08:44,254.9,0.4
16:08:45,249.0,0.6
16:08:45,100.0,0.8
16:08:46,98.0,0.8
16:08:46,100.0,1.0
16:08:47,100.0,1.8
16:08:48,100.0,2.5
16:08:48,100.0,1.2
16:08:49,0,0
16:08:49,0,0
16:08:50,0,0
16:08:50,0,0
16:08:51,251.9,0.2
16:08:51,98.0,0.4
16:08:52,252.0,0.7
16:08:52,98.0,0.8
16:08:53,96.1,0.8
16:08:53,102.0,1.2
16:08:54,100.0,1.9
16:08:54,98.0,2.7
16:08:55,102.0,1.3
16:08:55,0,0
16:08:56,0,0
16:08:56,0,0
16:08:57,0,0
16:08:57,250.0,0.2
16:08:58,98.0,0.4
16:08:58,256.9,0.7
16:08:59,102.0,0.8
16:08:59,100.0,0.8
16:09:00,100.0,1.2
16:09:00,100.0,1.9
16:09:01,100.0,2.7
16:09:01,98.0,3.2
16:09:02,0,0
16:09:02,0,0
16:09:03,0,0
16:09:03,0,0
16:09:04,0,0
16:09:04,0,0
16:09:05,0,0
16:09:05,0,0
16:09:06,0,0
16:09:06,0,0
16:09:07,0,0
16:09:07,0,0
16:09:08,0,0
16:09:08,0,0
16:09:09,0,0
16:09:09,0,0



timestamp,%cpu_user,%cpu_system
16:10:30,0,0
16:10:30,0,0
16:10:31,0,0
16:10:31,0,0
16:10:32,0,0
16:10:32,0,0
16:10:33,0,0
16:10:34,28.8,0.1
16:10:34,256.9,0.3
16:10:35,154.0,0.5
16:10:35,192.3,0.7
16:10:36,100.0,0.8
16:10:36,98.0,0.9
16:10:37,0,0
16:10:37,0,0
16:10:38,0,0
16:10:38,0,0
16:10:39,234.6,0.2
16:10:39,111.8,0.4
16:10:40,245.1,0.6
16:10:40,102.0,0.8
16:10:41,98.0,0.8
16:10:41,0,0
16:10:42,0,0
16:10:42,0,0
16:10:43,0,0
16:10:43,36.5,0.1
16:10:44,256.9,0.3
16:10:44,100.0,0.5
16:10:45,233.3,0.7
16:10:45,100.0,0.8
16:10:46,100.0,0.9
16:10:46,0,0
16:10:47,0,0
16:10:47,0,0
16:10:48,0,0
16:10:48,65.4,0.2
16:10:49,251.0,0.4
16:10:49,260.0,0.6
16:10:50,96.1,0.8
16:10:50,98.0,0.9
16:10:51,0,0
16:10:51,0,0
16:10:52,0,0
16:10:52,0,0
16:10:53,48.1,0.1
16:10:53,260.0,0.4
16:10:54,251.0,0.6
16:10:54,100.0,0.8
16:10:55,96.1,0.9
16:10:56,0,0
16:10:56,0,0
16:10:57,0,0
16:10:57,0,0
16:10:58,49.1,0.2
16:10:58,258.0,0.4
16:10:59,231.4,0.5
16:10:59,121.6,0.7
16:11:00,98.0,0.8
16:11:00,100.0,1.0
16:11:01,0,0
16:11:01,0,0
16:11:02,0,0
16:11:02,3.8,0.1
16:11:03,247.1,0.3
16:11:03,100.0,0.4
16:11:04,248.0,0.6
16:11:04,100.0,0.7
16:11:05,100.0,0.8
16:11:05,100.0,1.0
16:11:06,0,0
16:11:06,0,0
16:11:07,0,0
16:11:07,0,0
16:11:08,242.3,0.2
16:11:08,98.0,0.4
16:11:09,247.1,0.6
16:11:09,98.0,0.8
16:11:10,100.0,0.8
16:11:10,0,0
16:11:11,0,0
16:11:11,0,0
16:11:12,0,0
16:11:12,9.8,0.1
16:11:13,256.9,0.3
16:11:13,104.0,0.4
16:11:14,251.0,0.7
16:11:14,100.0,0.8
16:11:15,100.0,0.9
16:11:15,0,0
16:11:16,0,0
16:11:16,0,0
16:11:17,0,0
16:11:18,86.5,0.2
16:11:18,226.9,0.4
16:11:19,239.2,0.5
16:11:19,109.8,0.8
16:11:20,98.0,0.8
16:11:20,0,0
16:11:21,0,0
16:11:21,0,0
16:11:22,0,0
16:11:22,15.4,0.1
16:11:23,256.9,0.3
16:11:23,98.0,0.5
16:11:24,249.0,0.7
16:11:24,98.0,0.8
16:11:25,100.0,0.9
16:11:25,0,0
16:11:26,0,0
16:11:26,0,0
16:11:27,0,0
16:11:27,90.4,0.2
16:11:28,231.4,0.4
16:11:28,227.5,0.6
16:11:29,123.5,0.8
16:11:29,100.0,0.8
16:11:30,100.0,1.0
16:11:30,0,0
16:11:31,0,0
16:11:31,0,0
16:11:32,0,0
16:11:32,235.3,0.2
16:11:33,102.0,0.4
16:11:33,215.7,0.6
16:11:34,98.0,0.7
16:11:34,98.0,0.8
16:11:35,98.0,1.0
16:11:35,0,0
16:11:36,0,0
16:11:36,0,0
16:11:37,0,0
16:11:37,205.8,0.2
16:11:38,131.4,0.4
16:11:38,254.0,0.6
16:11:39,96.1,0.8
16:11:39,96.1,0.8
16:11:40,0,0
16:11:41,0,0
16:11:41,0,0
16:11:42,0,0
16:11:42,26.9,0.1
16:11:43,256.9,0.3
16:11:43,152.0,0.5
16:11:44,194.1,0.7
16:11:44,100.0,0.8
16:11:45,98.0,1.0
16:11:45,0,0
16:11:46,0,0
16:11:46,0,0
16:11:47,0,0
16:11:47,158.8,0.2
16:11:48,151.0,0.4
16:11:48,227.5,0.6
16:11:49,113.7,0.7
16:11:49,98.0,0.8
16:11:50,102.0,1.0
16:11:50,0,0
16:11:51,0,0
16:11:51,0,0
16:11:52,0,0
16:11:52,234.0,0.2
16:11:53,100.0,0.5
16:11:53,256.9,0.7
16:11:54,98.0,0.8
16:11:54,102.0,0.8
16:11:55,0,0
16:11:55,0,0
16:11:56,0,0
16:11:56,0,0
16:11:57,40.4,0.1
16:11:57,256.0,0.3
16:11:58,162.7,0.5
16:11:58,176.5,0.7
16:11:59,96.1,0.8
16:11:59,100.0,0.9
16:12:00,0,0
16:12:00,0,0
16:12:01,0,0
16:12:01,0,0
16:12:02,71.2,0.2
16:12:02,266.7,0.3
16:12:03,160.8,0.5
16:12:04,196.1,0.7
16:12:04,100.0,0.8
16:12:05,98.0,0.9
16:12:05,0,0
16:12:06,0,0
16:12:06,0,0
16:12:07,0,0
16:12:07,67.3,0.2
16:12:08,256.0,0.3
16:12:08,147.1,0.5
16:12:09,200.0,0.7
16:12:09,100.0,0.8
16:12:10,98.0,0.9
16:12:10,0,0
16:12:11,0,0
16:12:11,0,0
16:12:12,0,0
16:12:12,52.9,0.1
16:12:13,256.9,0.3
16:12:13,98.0,0.5
16:12:14,262.7,0.7
16:12:14,98.0,0.8
16:12:15,100.0,0.9
16:12:15,0,0
16:12:16,0,0
16:12:16,0,0
16:12:17,0,0
16:12:17,39.2,0.1
16:12:18,231.4,0.3
16:12:18,100.0,0.4
16:12:19,251.0,0.6
16:12:19,96.1,0.8
16:12:20,100.0,0.8
16:12:20,0,0
16:12:21,0,0
16:12:21,0,0
16:12:22,0,0
16:12:22,9.6,0.1
16:12:23,251.0,0.3
16:12:23,102.0,0.5
16:12:24,254.9,0.7
16:12:24,98.0,0.8
16:12:25,98.0,0.9
16:12:25,0,0
16:12:26,0,0
16:12:26,0,0
16:12:27,0,0
16:12:28,119.6,0.2
16:12:28,209.8,0.4
16:12:29,254.9,0.6
16:12:29,98.0,0.8
16:12:30,100.0,0.8
16:12:30,0,0
16:12:31,0,0
16:12:31,0,0
16:12:32,0,0
16:12:32,19.6,0.1
16:12:33,245.1,0.3
16:12:33,98.0,0.5
16:12:34,260.0,0.7
16:12:34,96.1,0.8
16:12:35,98.0,0.9
16:12:35,100.0,0.0
16:12:36,0,0
16:12:36,0,0
16:12:37,0,0
16:12:37,7.8,0.1
16:12:38,252.9,0.3
16:12:38,98.0,0.5
16:12:39,256.9,0.7
16:12:39,100.0,0.8
16:12:40,98.0,0.8
16:12:40,100.0,1.2
16:12:41,0,0
16:12:41,0,0
16:12:42,0,0
16:12:42,0,0
16:12:43,174.5,0.2
16:12:43,154.9,0.4
16:12:44,256.0,0.6
16:12:44,98.0,0.8
16:12:45,100.0,0.8
16:12:45,96.1,1.0
16:12:46,0,0
16:12:46,0,0
16:12:47,0,0
16:12:47,0,0
16:12:48,54.9,0.1
16:12:48,212.0,0.2
16:12:49,98.1,0.4
16:12:49,100.0,0.4
16:12:50,236.5,0.6
16:12:50,98.0,0.7
16:12:51,98.0,0.8
16:12:51,98.0,0.9
16:12:52,102.0,1.0
16:12:53,0,0
16:12:53,0,0
16:12:54,0,0
16:12:54,0,0
16:12:55,119.6,0.2
16:12:55,215.7,0.3
16:12:56,98.0,0.5
16:12:56,254.9,0.7
16:12:57,98.0,0.8
16:12:57,98.0,0.8
16:12:58,98.0,1.1
16:12:58,0,0
16:12:59,0,0
16:12:59,0,0
16:13:00,0,0
16:13:00,18.0,0.1
16:13:01,254.9,0.3
16:13:01,98.0,0.4
16:13:02,256.9,0.6
16:13:02,98.0,0.7
16:13:03,98.0,0.8
16:13:03,100.0,0.9
16:13:04,98.0,1.5
16:13:04,0,0
16:13:05,0,0
16:13:05,0,0
16:13:06,0,0
16:13:06,50.0,0.2
16:13:07,258.8,0.4
16:13:07,208.0,0.5
16:13:08,143.1,0.7
16:13:08,98.0,0.8
16:13:09,98.0,0.8
16:13:09,100.0,1.3
16:13:10,100.0,1.9
16:13:10,0,0
16:13:11,0,0
16:13:11,0,0
16:13:12,0,0
16:13:12,188.5,0.2
16:13:13,137.3,0.4
16:13:13,256.0,0.6
16:13:14,98.0,0.8
16:13:14,98.0,0.8
16:13:15,98.0,0.9
16:13:15,100.0,1.6
16:13:16,102.0,2.1
16:13:16,0,0
16:13:17,0,0
16:13:17,0,0
16:13:18,0,0
16:13:18,198.1,0.2
16:13:19,133.3,0.4
16:13:19,272.0,0.6
16:13:20,98.0,0.8
16:13:20,100.0,0.8
16:13:21,98.0,0.9
16:13:22,98.0,1.7
16:13:22,100.0,2.3
16:13:23,0,0
16:13:23,0,0
16:13:24,0,0
16:13:24,0,0
16:13:25,56.9,0.2
16:13:25,262.0,0.4
16:13:26,239.2,0.6
16:13:26,111.8,0.8
16:13:27,98.0,0.8
16:13:27,98.0,0.9
16:13:28,102.0,1.6
16:13:28,98.0,2.4
16:13:29,0,0
16:13:29,0,0
16:13:30,0,0
16:13:30,0,0
16:13:31,21.6,0.1
16:13:31,252.9,0.3
16:13:32,100.0,0.4
16:13:32,258.8,0.7
16:13:33,98.0,0.8
16:13:33,98.0,0.8
16:13:34,98.0,1.0
16:13:34,100.0,1.6
16:13:35,102.0,2.3
16:13:35,96.1,2.8
16:13:36,0,0
16:13:36,0,0
16:13:37,0,0
16:13:37,0,0
16:13:38,39.2,0.1
16:13:38,260.0,0.3
16:13:39,98.0,0.5
16:13:39,260.8,0.7
16:13:40,98.0,0.8
16:13:40,100.0,0.8
16:13:41,98.0,1.1
16:13:41,100.0,1.7
16:13:42,100.0,2.4
16:13:42,100.0,2.9
16:13:43,0,0
16:13:43,0,0
16:13:44,0,0
16:13:44,0,0
16:13:45,42.3,0.1
16:13:45,249.0,0.3
16:13:46,134.0,0.5
16:13:46,215.4,0.7
16:13:47,100.0,0.8
16:13:47,98.0,0.9
16:13:48,98.0,1.3
16:13:48,100.0,2.0
16:13:49,102.0,2.7
16:13:49,98.0,3.2
16:13:50,0,0
16:13:50,0,0
16:13:51,0,0
16:13:51,0,0
16:13:52,0,0
16:13:53,0,0



