X1,X2,X3,X4,X5,X6,Y2
0.98,514.5,294,110.25,7,2,21.33
0.98,514.5,294,110.25,7,3,21.33
0.98,514.5,294,110.25,7,4,21.33
0.98,514.5,294,110.25,7,5,21.33
0.9,563.5,318.5,122.5,7,2,28.28
0.9,563.5,318.5,122.5,7,3,25.38
0.9,563.5,318.5,122.5,7,4,25.16
0.9,563.5,318.5,122.5,7,5,29.6
0.86,588,294,147,7,2,27.3
0.86,588,294,147,7,3,21.97
0.86,588,294,147,7,4,23.49
0.86,588,294,147,7,5,27.87
0.82,612.5,318.5,147,7,2,23.77
0.82,612.5,318.5,147,7,3,21.46
0.82,612.5,318.5,147,7,4,21.16
0.82,612.5,318.5,147,7,5,24.93
0.79,637,343,147,7,2,37.73
0.79,637,343,147,7,3,31.27
0.79,637,343,147,7,4,30.93
0.79,637,343,147,7,5,39.44
0.76,661.5,416.5,122.5,7,2,29.79
0.76,661.5,416.5,122.5,7,3,29.68
0.76,661.5,416.5,122.5,7,4,29.79
0.76,661.5,416.5,122.5,7,5,29.4
0.74,686,245,220.5,3.5,2,10.9
0.74,686,245,220.5,3.5,3,11.19
0.74,686,245,220.5,3.5,4,10.94
0.74,686,245,220.5,3.5,5,11.17
0.71,710.5,269.5,220.5,3.5,2,11.27
0.71,710.5,269.5,220.5,3.5,3,11.72
0.71,710.5,269.5,220.5,3.5,4,11.29
0.71,710.5,269.5,220.5,3.5,5,11.67
0.69,735,294,220.5,3.5,2,11.74
0.69,735,294,220.5,3.5,3,12.05
0.69,735,294,220.5,3.5,4,11.73
0.69,735,294,220.5,3.5,5,11.93
0.66,759.5,318.5,220.5,3.5,2,12.4
0.66,759.5,318.5,220.5,3.5,3,12.23
0.66,759.5,318.5,220.5,3.5,4,12.4
0.66,759.5,318.5,220.5,3.5,5,12.14
0.64,784,343,220.5,3.5,2,16.78
0.64,784,343,220.5,3.5,3,16.8
0.64,784,343,220.5,3.5,4,16.75
0.64,784,343,220.5,3.5,5,16.67
0.62,808.5,367.5,220.5,3.5,2,12.07
0.62,808.5,367.5,220.5,3.5,3,12.22
0.62,808.5,367.5,220.5,3.5,4,12.08
0.62,808.5,367.5,220.5,3.5,5,12.04
0.98,514.5,294,110.25,7,2,26.47
0.98,514.5,294,110.25,7,3,26.37
0.98,514.5,294,110.25,7,4,26.44
0.98,514.5,294,110.25,7,5,26.29
0.9,563.5,318.5,122.5,7,2,32.92
0.9,563.5,318.5,122.5,7,3,29.87
0.9,563.5,318.5,122.5,7,4,29.58
0.9,563.5,318.5,122.5,7,5,34.33
0.86,588,294,147,7,2,30.89
0.86,588,294,147,7,3,25.6
0.86,588,294,147,7,4,27.03
0.86,588,294,147,7,5,31.73
0.82,612.5,318.5,147,7,2,27.31
0.82,612.5,318.5,147,7,3,24.91
0.82,612.5,318.5,147,7,4,24.61
0.82,612.5,318.5,147,7,5,28.51
0.79,637,343,147,7,2,41.68
0.79,637,343,147,7,3,35.28
0.79,637,343,147,7,4,34.43
0.79,637,343,147,7,5,43.33
0.76,661.5,416.5,122.5,7,2,33.87
0.76,661.5,416.5,122.5,7,3,34.07
0.76,661.5,416.5,122.5,7,4,34.14
0.76,661.5,416.5,122.5,7,5,33.67
0.74,686,245,220.5,3.5,2,13.43
0.74,686,245,220.5,3.5,3,13.71
0.74,686,245,220.5,3.5,4,13.48
0.74,686,245,220.5,3.5,5,13.7
0.71,710.5,269.5,220.5,3.5,2,13.8
0.71,710.5,269.5,220.5,3.5,3,14.28
0.71,710.5,269.5,220.5,3.5,4,13.87
0.71,710.5,269.5,220.5,3.5,5,14.27
0.69,735,294,220.5,3.5,2,14.28
0.69,735,294,220.5,3.5,3,14.61
0.69,735,294,220.5,3.5,4,14.3
0.69,735,294,220.5,3.5,5,14.45
0.66,759.5,318.5,220.5,3.5,2,13.9
0.66,759.5,318.5,220.5,3.5,3,13.72
0.66,759.5,318.5,220.5,3.5,4,13.88
0.66,759.5,318.5,220.5,3.5,5,13.65
0.64,784,343,220.5,3.5,2,19.37
0.64,784,343,220.5,3.5,3,19.43
0.64,784,343,220.5,3.5,4,19.34
0.64,784,343,220.5,3.5,5,19.32
0.62,808.5,367.5,220.5,3.5,2,14.34
0.62,808.5,367.5,220.5,3.5,3,14.5
0.62,808.5,367.5,220.5,3.5,4,14.33
0.62,808.5,367.5,220.5,3.5,5,14.27
0.98,514.5,294,110.25,7,2,25.95
0.98,514.5,294,110.25,7,3,25.63
0.98,514.5,294,110.25,7,4,26.13
0.98,514.5,294,110.25,7,5,25.89
0.9,563.5,318.5,122.5,7,2,32.54
0.9,563.5,318.5,122.5,7,3,29.44
0.9,563.5,318.5,122.5,7,4,29.36
0.9,563.5,318.5,122.5,7,5,34.2
0.86,588,294,147,7,2,30.91
0.86,588,294,147,7,3,25.63
0.86,588,294,147,7,4,27.36
0.86,588,294,147,7,5,31.9
0.82,612.5,318.5,147,7,2,27.38
0.82,612.5,318.5,147,7,3,25.02
0.82,612.5,318.5,147,7,4,24.8
0.82,612.5,318.5,147,7,5,28.79
0.79,637,343,147,7,2,41.07
0.79,637,343,147,7,3,34.62
0.79,637,343,147,7,4,33.87
0.79,637,343,147,7,5,42.86
0.76,661.5,416.5,122.5,7,2,33.91
0.76,661.5,416.5,122.5,7,3,34.07
0.76,661.5,416.5,122.5,7,4,34.17
0.76,661.5,416.5,122.5,7,5,33.78
0.74,686,245,220.5,3.5,2,13.39
0.74,686,245,220.5,3.5,3,13.72
0.74,686,245,220.5,3.5,4,13.57
0.74,686,245,220.5,3.5,5,13.79
0.71,710.5,269.5,220.5,3.5,2,13.67
0.71,710.5,269.5,220.5,3.5,3,14.11
0.71,710.5,269.5,220.5,3.5,4,13.8
0.71,710.5,269.5,220.5,3.5,5,14.21
0.69,735,294,220.5,3.5,2,13.2
0.69,735,294,220.5,3.5,3,13.54
0.69,735,294,220.5,3.5,4,13.32
0.69,735,294,220.5,3.5,5,13.51
0.66,759.5,318.5,220.5,3.5,2,14.86
0.66,759.5,318.5,220.5,3.5,3,14.75
0.66,759.5,318.5,220.5,3.5,4,15
0.66,759.5,318.5,220.5,3.5,5,14.74
0.64,784,343,220.5,3.5,2,19.23
0.64,784,343,220.5,3.5,3,19.34
0.64,784,343,220.5,3.5,4,19.32
0.64,784,343,220.5,3.5,5,19.3
0.62,808.5,367.5,220.5,3.5,2,14.37
0.62,808.5,367.5,220.5,3.5,3,14.57
0.62,808.5,367.5,220.5,3.5,4,14.27
0.62,808.5,367.5,220.5,3.5,5,14.24
0.98,514.5,294,110.25,7,2,25.68
0.98,514.5,294,110.25,7,3,26.02
0.98,514.5,294,110.25,7,4,25.84
0.98,514.5,294,110.25,7,5,26.14
0.9,563.5,318.5,122.5,7,2,34.14
0.9,563.5,318.5,122.5,7,3,32.85
0.9,563.5,318.5,122.5,7,4,30.08
0.9,563.5,318.5,122.5,7,5,29.67
0.86,588,294,147,7,2,31.73
0.86,588,294,147,7,3,31.01
0.86,588,294,147,7,4,25.9
0.86,588,294,147,7,5,27.4
0.82,612.5,318.5,147,7,2,28.68
0.82,612.5,318.5,147,7,3,27.54
0.82,612.5,318.5,147,7,4,25.35
0.82,612.5,318.5,147,7,5,24.93
0.79,637,343,147,7,2,43.12
0.79,637,343,147,7,3,41.22
0.79,637,343,147,7,4,35.1
0.79,637,343,147,7,5,34.29
0.76,661.5,416.5,122.5,7,2,33.85
0.76,661.5,416.5,122.5,7,3,34.11
0.76,661.5,416.5,122.5,7,4,34.48
0.76,661.5,416.5,122.5,7,5,34.5
0.74,686,245,220.5,3.5,2,13.6
0.74,686,245,220.5,3.5,3,13.36
0.74,686,245,220.5,3.5,4,13.65
0.74,686,245,220.5,3.5,5,13.49
0.71,710.5,269.5,220.5,3.5,2,14.14
0.71,710.5,269.5,220.5,3.5,3,13.77
0.71,710.5,269.5,220.5,3.5,4,14.3
0.71,710.5,269.5,220.5,3.5,5,13.87
0.69,735,294,220.5,3.5,2,14.44
0.69,735,294,220.5,3.5,3,14.27
0.69,735,294,220.5,3.5,4,14.67
0.69,735,294,220.5,3.5,5,14.4
0.66,759.5,318.5,220.5,3.5,2,13.46
0.66,759.5,318.5,220.5,3.5,3,13.7
0.66,759.5,318.5,220.5,3.5,4,13.59
0.66,759.5,318.5,220.5,3.5,5,13.83
0.64,784,343,220.5,3.5,2,19.14
0.64,784,343,220.5,3.5,3,19.18
0.64,784,343,220.5,3.5,4,19.37
0.64,784,343,220.5,3.5,5,19.29
0.62,808.5,367.5,220.5,3.5,2,14.09
0.62,808.5,367.5,220.5,3.5,3,14.23
0.62,808.5,367.5,220.5,3.5,4,14.14
0.62,808.5,367.5,220.5,3.5,5,13.89
0.98,514.5,294,110.25,7,2,25.91
0.98,514.5,294,110.25,7,3,25.72
0.98,514.5,294,110.25,7,4,26.18
0.98,514.5,294,110.25,7,5,25.87
0.9,563.5,318.5,122.5,7,2,29.34
0.9,563.5,318.5,122.5,7,3,33.91
0.9,563.5,318.5,122.5,7,4,32.83
0.9,563.5,318.5,122.5,7,5,29.92
0.86,588,294,147,7,2,27.17
0.86,588,294,147,7,3,31.76
0.86,588,294,147,7,4,31.06
0.86,588,294,147,7,5,25.81
0.82,612.5,318.5,147,7,2,24.61
